"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABLIM3",395.136339588278,-0.885365368552886,0.0588439353396223,-15.0459917992046,3.66794876108852e-51,4.27528271025392e-50
"ABO",41.1658030841097,-1.05968479792346,0.164592790003202,-6.43822124834781,1.20881711246139e-10,2.90910036622248e-10
"ABR",3169.37457496213,0.216992814819538,0.047009791983204,4.61590672209455,3.91382719756142e-06,7.05603964419854e-06
"ABRA",1.49382665619044,-0.794802808587368,0.284576006517102,-2.79293682666674,0.00522318914572977,0.00724920039729579
"ABRACL",380.150662049345,0.625753888228188,0.0506780882954613,12.347622202715,5.01724836701509e-35,3.46601329328795e-34
"ABT1",605.154327377718,0.170371354332394,0.0487868824555346,3.49215497603631,0.000479140160950734,0.000733118787867904
"ABTB1",438.714908719668,-0.0951292757911336,0.0786500666021695,-1.20952568638397,0.226460948886384,0.258151548907573
"ABTB2",341.913463241855,-0.626543646912276,0.0604162672013395,-10.370446171795,3.37943160731026e-25,1.61883016506277e-24
"AC002116.7",4.13000152373008,-0.00879504598258096,0.133769922314108,-0.0657475599180591,0.94757880696109,0.954479832224629
"AC002480.3",3.08823803501696,0.0696892364319837,0.160500156136744,0.434200427646994,0.664142902580214,0.695630452065245
"AC003102.3",9.10578319306699,0.00697359482585868,0.101171388279413,0.0689285275655122,0.945046510802398,0.952368693732829
"AC003665.1",15.6349978025898,-0.237001629375783,0.0843948383820043,-2.80824792036475,0.00498118627415381,0.00693292455703924
"AC003958.2",2.13000039230113,-1.13142216111906,0.22514594080681,-5.0252834097946,5.02689616208995e-07,9.65746264535329e-07
"AC004893.11",42.4087136982042,-0.664383419186225,0.0704109500007169,-9.43579683528571,3.88033524736067e-21,1.56359836393442e-20
"AC005022.1",1.51849714839219,-1.59289140069236,0.262460938583568,-6.0690608259224,1.28660414014748e-09,2.91822442689648e-09
"AC005264.2",5.34643548629533,1.46772671500053,0.155660813605875,9.42900580435571,4.13994253789429e-21,1.66581584602016e-20
"AC005550.4",10.5488345230574,-0.891809937189377,0.124635000604248,-7.15537315253146,8.34456191213025e-13,2.24780134349524e-12
"AC005594.3",13.7449647877046,-0.496236481895174,0.114598975528123,-4.33019998310015,1.48973987099496e-05,2.57806776511948e-05
"AC006262.5",28.5175027705093,-1.51454652923843,0.150462185359519,-10.0659612620907,7.81204135102071e-24,3.52142511209655e-23
"AC007038.7",8.1643982647076,-0.700579283042611,0.14834976769489,-4.72248318233627,2.32982360644658e-06,4.27850513883956e-06
"AC007163.3",3.15885770859191,4.12784142411575,0.299699948875575,13.7732470078915,3.69237284734729e-43,3.30415972747597e-42
"AC007163.6",3.55936640672473,0.949024452728109,0.194319572505578,4.88383357626453,1.04042899569179e-06,1.95223325455113e-06
"AC007246.3",48.675797310673,-0.769444944434393,0.0615097178071754,-12.5093232722429,6.63873845774685e-36,4.72751353553837e-35
"AC007551.3",14.5128663276032,-0.593691199790241,0.0831158081402686,-7.14293962934597,9.13557567616588e-13,2.45414726138555e-12
"AC007743.1",11.5378717457289,-0.565629790262996,0.102093573535634,-5.54030749120142,3.01940998595732e-08,6.28656971527634e-08
"AC007750.5",2.95130202775076,0.312228193836081,0.203406071059563,1.53499938428412,0.124783979280405,0.147805159704912
"AC007879.2",2.51852915350423,-0.283865488579068,0.179922110938999,-1.57771319543549,0.114631513462113,0.136421433945095
"AC009299.3",94.1849669453228,1.54787262075535,0.0816960880291724,18.9467165209016,4.70010774299352e-80,1.14956557997998e-78
"AC009501.4",39.0380304881048,-0.364760524751742,0.0700807558447877,-5.20486002690382,1.94142886057464e-07,3.84449110926456e-07
"AC009948.5",83.751409703042,0.144688801566271,0.0907561152383023,1.59425952935904,0.110877918172127,0.132307085053805
"AC010226.4",18.4242176237189,-0.826967933607305,0.0855397969223607,-9.66763966435288,4.13811723704534e-22,1.73845181894268e-21
"AC011738.4",2.48684129298773,0.356833699412153,0.218506110288929,1.63306050773735,0.102456271446863,0.122742538197901
"AC011747.7",19.3862551375094,-0.682728946329891,0.0697085885589873,-9.79404346642547,1.19422360782718e-22,5.14016034576501e-22
"AC011899.9",3.76306577158007,0.164303355110194,0.181916103748158,0.903182025807085,0.366429295738737,0.404171142778209
"AC012309.5",5.27843070655196,-1.1447237705521,0.134410324393872,-8.51663572507747,1.64255127783694e-17,5.62898396383135e-17
"AC012314.8",22.0575289575567,0.0786439859182497,0.0782438440713413,1.0051140361476,0.314841942120503,0.350995955227717
"AC016629.8",27.2939101996997,-0.463998849035579,0.0796755490105023,-5.82360403910637,5.75919340414171e-09,1.25330258678497e-08
"AC018470.4",30.6732588306793,-1.17346677614533,0.167534161597206,-7.00434326323629,2.48147042661898e-12,6.53036033482471e-12
"AC018647.3",13.8113302120089,-0.637414879132083,0.105826123821585,-6.02322806613153,1.70972255957306e-09,3.85123879688209e-09
"AC020571.3",9.25368537814229,0.451597213703343,0.127510055534984,3.54165961114685,0.000397618216537155,0.000612295889351554
"AC022007.5",11.0511363395219,-0.688855162022638,0.137311863504389,-5.01671992821376,5.25611019930261e-07,1.00840094084501e-06
"AC024592.9",1.87804092829124,0.548911294416294,0.234312523076633,2.34264599778464,0.0191475409291116,0.0250221374574325
"AC058791.1",5.89058820515595,-0.101103021979365,0.146592663508258,-0.689686779404689,0.490391181573643,0.528175640587132
"AC068831.10",5.1235735726191,-0.19038953993678,0.120904654528826,-1.57470810928447,0.115323835147853,0.137203787394222
"AC072062.1",27.0818670454359,-1.38668092051436,0.103686830991101,-13.3737419425363,8.60981193930253e-41,7.15601804857815e-40
"AC074138.3",10.3180565004106,-1.07987732541478,0.0987866660818648,-10.9314077318885,8.15730146660418e-28,4.3113401723387e-27
"AC074286.1",169.679214613247,-0.808064406841177,0.082627450206258,-9.77961203963155,1.37737490197305e-22,5.91680732168648e-22
"AC074289.1",26.7056142804519,-0.871982856674975,0.10781001943676,-8.08814302446604,6.058124340427e-16,1.92402267215372e-15
"AC090044.1",2.18987029506138,-1.7150946092556,0.225727539846549,-7.59807425545652,3.00569858705306e-14,8.75454845761858e-14
"AC091729.9",71.8224383832775,-0.0825325280503024,0.0801237230037403,-1.03006356864433,0.30298016568206,0.338675609220015
"AC092295.7",9.42377465312969,-1.03186048311222,0.109634253837292,-9.41184389911199,4.87508336712485e-21,1.95560942259665e-20
"AC093375.1",3.18562501727487,-0.47398521794404,0.211618339691367,-2.23981162802487,0.025103154660966,0.0323720261025195
"AC093391.2",15.8807989390143,1.16003290697107,0.0967758267791872,11.9868044074468,4.16671411233395e-33,2.68573236515388e-32
"AC093690.1",3.71453461472729,-0.375780694566953,0.17506532838206,-2.14651694907203,0.0318317580050384,0.040609011186681
"AC095067.1",3.34517201766883,-0.316947515278042,0.147433503598266,-2.14976587778634,0.0315737385302774,0.0403007879856143
"AC097662.2",6.76824684967811,-0.397739474197186,0.110942100972282,-3.58510854501085,0.000336938039998877,0.000522252632434532
"AC098823.3",4.07065564684226,0.28314657888597,0.135986610428611,2.08216513371081,0.0373273888039804,0.0472090872631963
"AC104134.2",1.73281461780183,-0.62537050277637,0.336344889028524,-1.85931323226777,0.062982752477819,0.0775196627601909
"AC104655.2",7.44182342283011,-0.00716804473133016,0.212424738157646,-0.0337439264065873,0.973081350694433,0.976462176969071
"AC105053.3",4.93794955366435,-1.0796949454313,0.159714247361383,-6.76016675574531,1.37833006901132e-11,3.48261965204969e-11
"AC109828.1",5.33428384385885,0.0140920013601065,0.131705033952276,0.106996679908323,0.914791613684924,0.92544077947728
"AC144449.1",7.45157752028317,-0.666735703192921,0.120849665258117,-5.51706702512474,3.44703995464003e-08,7.15340920426142e-08
"AC147651.4",9.37552920390409,0.4911116262891,0.1057632629991,4.64349919208976,3.42557332762172e-06,6.20133285597663e-06
"AC159540.1",12.0230906846507,-0.476401514577644,0.177841489988429,-2.67879848852278,0.0073886844951847,0.0100920622773091
"AC159540.1-2_AC159540.1",99.8536091560334,-0.627186298722384,0.1282654981174,-4.88975061827093,1.00963804784766e-06,1.89590699490658e-06
"AC226118.1",2.79339408228404,-1.21778083843887,0.183531799255366,-6.63525799550656,3.23935436418951e-11,8.03700350084411e-11
"ACAA1",1224.17899244966,0.0259120308674747,0.0648948196902651,0.39929274772855,0.689677510213678,0.719192221545961
"ACAA2",975.995721416147,-0.907804540157302,0.0893563851339435,-10.1593695715927,3.01016500794165e-24,1.38323913794979e-23
"ACACA",2226.04068252193,0.339423494003058,0.0453236733001346,7.48887875339198,6.94644732680396e-14,1.98354500579281e-13
"ACACB",641.294873542423,-1.04359894925412,0.0860950995641534,-12.121467476514,8.12904129325159e-34,5.35214116659274e-33
"ACAD10",351.94631852073,-0.082012658016693,0.0337998953629291,-2.42641751212764,0.0152487163501034,0.0201496864102827
"ACAD11",292.99037800666,-0.508847720465697,0.0852574149487757,-5.96836909459925,2.39636792841596e-09,5.35068964462137e-09
"ACAD8",857.616680073112,-0.00332381054486467,0.0679277235395329,-0.0489315756758765,0.960973825242698,0.965990681122254
"ACAD9",1898.80064756576,0.0331027445799075,0.0578307756057013,0.572407065843399,0.567046230032152,0.603162259414616
"ACADL",39.8871702671003,-2.14617135681795,0.103881343115593,-20.6598345039668,7.96367733146467e-95,2.68739901700973e-93
"ACADM",778.120574992666,-0.604291606680923,0.108101948876481,-5.5900158411704,2.27048898121823e-08,4.75652304972012e-08
"ACADS",263.226812360943,-0.367730878921076,0.0770457018985241,-4.77289283969935,1.81598427052294e-06,3.35869018486397e-06
"ACADSB",629.459380114639,-0.716823204301139,0.0727398928544819,-9.85460902087336,6.54710075115425e-23,2.84417294299202e-22
"ACADVL",4416.80954605684,0.125143636050831,0.0587197480214888,2.1312018574234,0.0330725160674252,0.0421234899847101
"ACAN",64.0280121276999,0.0974809090699058,0.132930446388959,0.733322663979277,0.463361655102835,0.501649462886262
"ACAP1",173.325392941892,0.605560915533735,0.0791617882510041,7.64966190017889,2.01508424812369e-14,5.9343611685634e-14
"ACAP2",1673.36973935069,0.142724115106141,0.0609363451019845,2.34218371428864,0.0191712755158175,0.0250498204464544
"ACAP3",1347.75430844759,-0.204964204646106,0.0818549403044717,-2.5039930868401,0.0122800433600944,0.0164045743158926
"ACAT1",997.81134323729,-0.743138275229777,0.0366743203131801,-20.2631778553427,2.71838388283094e-91,8.55326841222667e-90
"ACAT2",1058.61258015592,-0.353462341705427,0.0929971649709278,-3.80078620478295,0.000144237712815212,0.000231059933909227
"ACBD3",1460.99557858248,0.272682464348015,0.0414164336698936,6.58391947798811,4.5820534481074e-11,1.12672504971615e-10
"ACBD4",125.346273303487,-0.838154256682397,0.0683026563079116,-12.2711809758022,1.29352743740481e-34,8.79670321005213e-34
"ACBD5",809.259509011892,-0.0630772878941911,0.0406227944710858,-1.55275600104488,0.120481437843241,0.142967520949867
"ACBD6",558.360694407697,-0.0946305062872523,0.043411960734838,-2.17982566752189,0.029270386545775,0.0374825840620083
"ACBD7",9.4771444035304,-0.242236603050318,0.104985189788294,-2.30734071671247,0.0210358333360865,0.027358702517763
"ACCS",143.173583952064,-0.506221500988219,0.100959534607876,-5.01410295673774,5.32814525939473e-07,1.02158348258462e-06
"ACD",229.514487501318,-0.19875124570229,0.0712506770484278,-2.78946466104739,0.00527952578097704,0.00731911388003028
"ACE",698.701514683382,-0.420140751312519,0.0810322707242932,-5.18485718784828,2.16180454030271e-07,4.26069655509736e-07
"ACE2",38.1061382573583,1.34726459887252,0.105818520254381,12.7318412281119,3.93450015518279e-37,2.90830195889311e-36
"ACER1",790.112819965559,-0.49029978424281,0.0783751580545386,-6.25580600298921,3.95468094088538e-10,9.23872174128571e-10
"ACER2",128.302061964443,-0.329164086275876,0.0588793064648157,-5.59048851012831,2.26431669093203e-08,4.74460469539155e-08
"ACER3",483.49841539868,0.585038866460067,0.0615869949860477,9.49938971032124,2.11123966206915e-21,8.5901692486095e-21
"ACHE",26.7210097240105,-0.324287181600143,0.11114262022978,-2.91775721077749,0.00352558743847588,0.00498004439669637
"ACIN1",2349.0267730206,0.163232016884839,0.0389646121302148,4.18923756611098,2.79893263911044e-05,4.75117001141997e-05
"ACKR2",227.727674011253,2.24094944413198,0.0915612888682799,24.4748569163964,2.73688812608085e-132,1.75661708484405e-130
"ACKR3",1072.74716803665,-0.308281178505562,0.0960520815763759,-3.20952105822331,0.00132956307120323,0.0019555619500061
"ACKR4",420.135778489472,-0.6504761561853,0.0903273106760703,-7.20132318029507,5.96310205604101e-13,1.62142218441985e-12
"ACLY",2908.00958716723,-0.0384862612825329,0.0474217243232086,-0.811574480510768,0.417035839447347,0.455007159976996
"ACN9",215.004988970907,0.387425490620569,0.0481649636712051,8.04372018767217,8.71513952088295e-16,2.73952209011109e-15
"ACO1",1027.03920692207,-0.701868745820642,0.0701935818761458,-9.99904445764095,1.53874611313227e-23,6.85749345630084e-23
"ACO2",2277.96907460704,0.305983785324974,0.052672493756578,5.8091759759668,6.27810732085879e-09,1.36245334565378e-08
"ACOT1",224.346890062378,-2.65040303478818,0.212172579901147,-12.4917321362781,8.2830413008384e-36,5.87288560102766e-35
"ACOT11",113.078203883613,1.33527672359168,0.0957405538945599,13.9468247182091,3.28926604512741e-44,3.0762469107763e-43
"ACOT13",470.505247151809,0.382085141850935,0.0514307867250833,7.42911330315288,1.09328069348389e-13,3.0832901809339e-13
"ACOT2",458.812982444643,-1.47233677606403,0.0915885575943629,-16.0755537016411,3.78595452188045e-58,5.38032900215138e-57
"ACOT4",44.4225291949098,-0.958010799848241,0.102519388666532,-9.34467920955312,9.21684417076976e-21,3.6525185535496e-20
"ACOT7",772.02594961361,0.747501941649679,0.076233435802783,9.80543423995053,1.06687130158047e-22,4.60209803712725e-22
"ACOT8",225.122791284189,-0.176774212060573,0.0739484425709019,-2.39050622183261,0.0168251640638836,0.0221285891793125
"ACOT9",374.244360363521,-0.104887763634263,0.0443633484528743,-2.36428870434975,0.0180647288226604,0.0236843307127536
"ACOX1",2274.56221416158,0.0573276061125263,0.0315294418600747,1.81822457774362,0.0690298149696207,0.0845122532105317
"ACOX2",178.212177715597,-1.8402745553785,0.113550665951692,-16.2066381553536,4.526623808033e-59,6.61972387116665e-58
"ACOX3",584.746091074319,0.848807402697417,0.0520204282855329,16.3168091973106,7.49522251463596e-60,1.12888167321664e-58
"ACP1",1036.16004760867,0.180824924369971,0.0327560561882049,5.52035090338759,3.38323355891727e-08,7.0247073789127e-08
"ACP2",492.133765739074,0.107221087933572,0.0468750835597249,2.28737913175042,0.0221737032667741,0.0287643019920372
"ACP5",1188.02598029528,1.04372255760243,0.0735432157840358,14.1919624601049,1.02742742615749e-45,1.0129856751874e-44
"ACP6",194.258239888288,-0.5700397841332,0.0900869498983272,-6.32766216168436,2.48903342868543e-10,5.88050241060769e-10
"ACPL2",211.337063460911,-0.615686546783155,0.0434344445401668,-14.1750758712659,1.30701814259167e-45,1.2809299561128e-44
"ACPP",1314.78278429501,1.2930461404024,0.0618465399498029,20.9073319453584,4.59203574054935e-97,1.62207881194945e-95
"ACPT",1.68718445663234,-2.50001705432322,0.290105971285564,-8.61759943528478,6.8372382135356e-18,2.38429258724857e-17
